date,cti
2000-01-01,28232520000.0
2000-02-01,26504400000.0
2000-03-01,27018280000.0
2000-04-01,26872460000.0
2000-05-01,27189200000.0
2000-06-01,27969280000.0
2000-07-01,27471750000.0
2000-08-01,26967150000.0
2000-09-01,26559970000.0
2000-10-01,26141250000.0
2000-11-01,27411880000.0
2000-12-01,29077450000.0
2001-01-01,28696000000.0
2001-02-01,29287310000.0
2001-03-01,27978850000.0
2001-04-01,27337820000.0
2001-05-01,27016370000.0
2001-06-01,26460150000.0
2001-07-01,25794690000.0
2001-08-01,27837340000.0
2001-09-01,26794910000.0
2001-10-01,26991740000.0
2001-11-01,25409270000.0
2001-12-01,25084960000.0
2002-01-01,25460340000.0
2002-02-01,25405870000.0
2002-03-01,25823780000.0
2002-04-01,26458170000.0
2002-05-01,27115550000.0
2002-06-01,27817540000.0
2002-07-01,28801820000.0
2002-08-01,29043390000.0
2002-09-01,28977150000.0
2002-10-01,28477520000.0
2002-11-01,28724700000.0
2002-12-01,30338390000.0
2003-01-01,31213750000.0
2003-02-01,31453580000.0
2003-03-01,32132330000.000004
2003-04-01,31221810000.0
2003-05-01,32023390000.0
2003-06-01,33142600000.0
2003-07-01,32357060000.0
2003-08-01,31803550000.0
2003-09-01,32238010000.000004
2003-10-01,34142730000.0
2003-11-01,34423000000.0
2003-12-01,37505170000.0
2004-01-01,37279990000.0
2004-02-01,36945550000.0
2004-03-01,35902150000.0
2004-04-01,36129360000.0
2004-05-01,36522480000.0
2004-06-01,36615060000.0
2004-07-01,37207190000.0
2004-08-01,35715870000.0
2004-09-01,37228290000.0
2004-10-01,38730000000.0
2004-11-01,40093010000.0
2004-12-01,39608550000.0
2005-01-01,38944450000.0
2005-02-01,38919490000.0
2005-03-01,39267890000.0
2005-04-01,38562550000.0
2005-05-01,38045200000.0
2005-06-01,36625600000.0
2005-07-01,36958030000.0
2005-08-01,38825130000.0
2005-09-01,39707310000.0
2005-10-01,38375050000.0
2005-11-01,38830920000.0
2005-12-01,38650350000.0
2006-01-01,38826970000.0
2006-02-01,38787320000.0
2006-03-01,39523700000.0
2006-04-01,40865620000.0
2006-05-01,42586740000.0
2006-06-01,42790010000.0
2006-07-01,41371510000.0
2006-08-01,41194430000.0
2006-09-01,42362850000.0
2006-10-01,41816790000.0
2006-11-01,42979980000.0
2006-12-01,44171780000.0
2007-01-01,43257910000.0
2007-02-01,44013510000.0
2007-03-01,45097640000.0
2007-04-01,46325810000.0
2007-05-01,46650130000.0
2007-06-01,45789450000.0
2007-07-01,46598070000.0
2007-08-01,46621340000.0
2007-09-01,48402340000.0
2007-10-01,49445580000.0
2007-11-01,48920890000.0
2007-12-01,50288650000.0
2008-01-01,53927940000.0
2008-02-01,53734060000.0
2008-03-01,55464890000.0
2008-04-01,55908040000.0
2008-05-01,53145970000.0
2008-06-01,54839230000.0
2008-07-01,56021920000.0
2008-08-01,52724370000.0
2008-09-01,50512200000.0
2008-10-01,44306890000.0
2008-11-01,41529710000.0
2008-12-01,43061430000.0
2009-01-01,38756690000.0
2009-02-01,37250630000.0
2009-03-01,36810200000.0
2009-04-01,36831880000.0
2009-05-01,39944130000.0
2009-06-01,39754150000.0
2009-07-01,42402640000.0
2009-08-01,41794290000.0
2009-09-01,42751270000.0
2009-10-01,43630810000.0
2009-11-01,42731240000.0
2009-12-01,42801770000.0
2010-01-01,44202550000.0
2010-02-01,42502020000.0
2010-03-01,43052510000.0
2010-04-01,42856200000.0
2010-05-01,39830230000.0
2010-06-01,41270670000.0
2010-07-01,43747840000.0
2010-08-01,42788380000.0
2010-09-01,43257240000.0
2010-10-01,45803050000.0
2010-11-01,47113350000.0
2010-12-01,44144250000.0
2011-01-01,47251800000.0
2011-02-01,48531240000.0
2011-03-01,49899430000.0
2011-04-01,51151900000.0
2011-05-01,50137700000.0
2011-06-01,50985490000.0
2011-07-01,50162160000.0
2011-08-01,52224590000.0
2011-09-01,48727790000.0
2011-10-01,48659330000.0
2011-11-01,50727790000.0
2011-12-01,46276910000.0
2012-01-01,47628770000.0
2012-02-01,48691410000.0
2012-03-01,48292760000.0
2012-04-01,48130250000.0
2012-05-01,48178610000.0
2012-06-01,45671360000.0
2012-07-01,45199130000.0
2012-08-01,47040970000.0
2012-09-01,48320790000.0
2012-10-01,47745240000.0
2012-11-01,46839220000.0
2012-12-01,47484130000.0
2013-01-01,48672210000.0
2013-02-01,48683880000.0
2013-03-01,48304280000.0
2013-04-01,49070770000.0
2013-05-01,47068810000.0
2013-06-01,47401610000.0
2013-07-01,47134990000.0
2013-08-01,48395250000.0
2013-09-01,48691650000.0
2013-10-01,49925130000.0
2013-11-01,48512630000.0
2013-12-01,49517600000.0
2014-01-01,49793110000.0
2014-02-01,50681660000.0
2014-03-01,50081530000.0
2014-04-01,50164270000.0
2014-05-01,49590840000.0
2014-06-01,49322760000.0
2014-07-01,49004480000.0
2014-08-01,48068630000.0
2014-09-01,47935760000.0
2014-10-01,46865930000.0
2014-11-01,46643740000.0
2014-12-01,45581600000.0
2015-01-01,43540740000.0
2015-02-01,43260960000.0
2015-03-01,40682320000.0
2015-04-01,41897060000.0
2015-05-01,42871960000.0
2015-06-01,44450960000.0
2015-07-01,41901770000.0
2015-08-01,42154590000.0
2015-09-01,42311740000.0
2015-10-01,42199820000.0
2015-11-01,40540970000.0
2015-12-01,40930640000.0
2016-01-01,41877060000.0
2016-02-01,41115120000.0
2016-03-01,41179370000.0
2016-04-01,41729040000.0
2016-05-01,42735420000.0
2016-06-01,41175520000.0
2016-07-01,41230600000.0
2016-08-01,42249150000.0
2016-09-01,41599980000.0
2016-10-01,40298800000.0
2016-11-01,41461060000.0
2016-12-01,42475040000.0
2017-01-01,39516990000.0
2017-02-01,40787280000.0
2017-03-01,41932720000.0
2017-04-01,41772630000.0
2017-05-01,45049370000.0
2017-06-01,43990270000.0
2017-07-01,45094040000.0
2017-08-01,46799200000.0
2017-09-01,48291320000.0
2017-10-01,46449620000.0
2017-11-01,47072250000.0
2017-12-01,50005830000.0
2018-01-01,49080100000.0
2018-02-01,49308700000.0
2018-03-01,50399850000.0
2018-04-01,50393340000.0
2018-05-01,47407920000.0
2018-06-01,47600710000.0
2018-07-01,48923060000.0
2018-08-01,47119350000.0
2018-09-01,47845440000.0
2018-10-01,49225460000.0
2018-11-01,46884930000.0
2018-12-01,48607120000.0
2019-01-01,48540380000.0
2019-02-01,48702540000.0
2019-03-01,49000430000.0
2019-04-01,48164260000.0
2019-05-01,49838210000.0
2019-06-01,47699520000.0
2019-07-01,46961960000.0
2019-08-01,47296250000.0
2019-09-01,46058650000.0
2019-10-01,47134850000.0
2019-11-01,46306980000.0
2019-12-01,46300390000.0
2020-01-01,44864930000.0
2020-02-01,45353540000.0
2020-03-01,38769870000.0
2020-04-01,26743970000.0
2020-05-01,30783320000.0
2020-06-01,35895790000.0
2020-07-01,40923270000.0
2020-08-01,42250430000.0
2020-09-01,44129980000.0
2020-10-01,45070930000.0
2020-11-01,45427540000.0
2020-12-01,46735080000.0
2021-01-01,48017960000.0
2021-02-01,46856460000.0
2021-03-01,46808550000.0
2021-04-01,48532960000.0
2021-05-01,48240730000.0
2021-06-01,48488200000.0
2021-07-01,47218320000.0
2021-08-01,49095590000.0
2021-09-01,49282750000.0
2021-10-01,49862530000.0
2021-11-01,49962620000.0
2021-12-01,49930740000.0
2022-01-01,54722350000.0
2022-02-01,52002820000.0
2022-03-01,50273730000.0
2022-04-01,51039530000.0
2022-05-01,50237240000.0
2022-06-01,51350980000.0
2022-07-01,49478760000.0
2022-08-01,52146700000.0
2022-09-01,51407020000.0
2022-10-01,50548430000.0
2022-11-01,52049260000.0
2022-12-01,53741370000.0
2023-01-01,54764820000.0
2023-02-01,54772100000.0
2023-03-01,53528590000.0
2023-04-01,54709240000.0
2023-05-01,56981020000.0
2023-06-01,55313470000.0
2023-07-01,55974520000.0
2023-08-01,54273270000.0
2023-09-01,52034810000.0
2023-10-01,52529630000.0
2023-11-01,53925380000.0
2023-12-01,53623250000.0
2024-01-01,53501100000.0
2024-02-01,53425120000.0
2024-03-01,54710340000.0
2024-04-01,53070820000.0
2024-05-01,53335770000.0
2024-06-01,54149490000.0
2024-07-01,53052210000.0
2024-08-01,53456220000.0
2024-09-01,52664600000.0
2024-10-01,52524750000.0
2024-11-01,52529430000.0
2024-12-01,53030550000.0
