date,ntl
2000-01-01,99.11055
2000-02-01,107.8526
2000-03-01,112.9352
2000-04-01,103.3799
2000-05-01,116.5947
2000-06-01,114.2567
2000-07-01,108.2592
2000-08-01,75.22237
2000-09-01,113.9517
2000-10-01,122.0839
2000-11-01,119.0343
2000-12-01,98.50063
2001-01-01,107.9543
2001-02-01,114.3583
2001-03-01,115.3748
2001-04-01,112.3253
2001-05-01,116.6963
2001-06-01,119.2376
2001-07-01,120.1525
2001-08-01,75.01906
2001-09-01,116.3914
2001-10-01,127.5731
2001-11-01,121.6773
2001-12-01,94.84117
2002-01-01,108.0559
2002-02-01,113.9517
2002-03-01,115.0699
2002-04-01,115.8831
2002-05-01,113.7484
2002-06-01,119.9492
2002-07-01,120.6607
2002-08-01,68.61499
2002-09-01,119.8475
2002-10-01,126.2516
2002-11-01,115.2732
2002-12-01,97.58577
2003-01-01,103.7865
2003-02-01,113.9517
2003-03-01,116.3914
2003-04-01,115.5781
2003-05-01,110.1906
2003-06-01,121.6773
2003-07-01,120.2541
2003-08-01,66.37865
2003-09-01,121.9822
2003-10-01,126.8615
2003-11-01,114.9682
2003-12-01,98.90724
2004-01-01,104.2948
2004-02-01,116.2897
2004-03-01,121.8806
2004-04-01,116.0864
2004-05-01,115.4765
2004-06-01,127.5731
2004-07-01,116.493
2004-08-01,69.73316
2004-09-01,123.507
2004-10-01,122.1855
2004-11-01,121.3723
2004-12-01,100.2287
2005-01-01,111.6137
2005-02-01,105.5146
2005-03-01,117.5095
2005-04-01,117.5095
2005-05-01,125.1334
2005-06-01,129.1995
2005-07-01,118.1194
2005-08-01,83.55782
2005-09-01,123.4053
2005-10-01,125.7433
2005-11-01,127.6747
2005-12-01,107.446
2006-01-01,115.5781
2006-02-01,109.3774
2006-03-01,123.6086
2006-04-01,114.5616
2006-05-01,126.3532
2006-06-01,129.4028
2006-07-01,119.3393
2006-08-01,83.96442
2006-09-01,120.864
2006-10-01,134.1804
2006-11-01,134.4854
2006-12-01,112.8335
2007-01-01,117.5095
2007-02-01,117.9161
2007-03-01,127.7764
2007-04-01,123.6086
2007-05-01,129.6061
2007-06-01,132.4523
2007-07-01,132.6557
2007-08-01,89.45362
2007-09-01,124.7268
2007-10-01,141.1944
2007-11-01,137.9415
2007-12-01,111.3088
2008-01-01,123.3037
2008-02-01,121.5756
2008-03-01,124.1169
2008-04-01,129.1995
2008-05-01,123.8119
2008-06-01,133.4689
2008-07-01,130.9276
2008-08-01,79.49174
2008-09-01,127.4714
2008-10-01,135.9085
2008-11-01,124.1169
2008-12-01,108.3609
2009-01-01,107.3443
2009-02-01,110.4956
2009-03-01,124.6252
2009-04-01,118.9327
2009-05-01,117.0013
2009-06-01,125.1334
2009-07-01,122.0839
2009-08-01,74.81576
2009-09-01,121.8806
2009-10-01,127.0648
2009-11-01,125.54
2009-12-01,102.2618
2010-01-01,102.3634
2010-02-01,104.5997
2010-03-01,122.8971
2010-04-01,117.4079
2010-05-01,119.4409
2010-06-01,127.1665
2010-07-01,117.4079
