date,value
1999-01-01,9604
1999-04-01,13356
1999-07-01,14424
1999-10-01,10289
2000-01-01,1634
2000-04-01,6102
2000-07-01,5386
2000-10-01,3133
2001-01-01,7289
2001-04-01,1052
2001-07-01,8686
2001-10-01,7196
2002-01-01,6748
2002-04-01,927
2002-07-01,6844
2002-10-01,3712
2003-01-01,5257
2003-04-01,-1572
2003-07-01,5111
2003-10-01,4832
2004-01-01,5361
2004-04-01,977
2004-07-01,4187
2004-10-01,-1446
2005-01-01,2207
2005-04-01,-742
2005-07-01,3687
2005-10-01,-3316
2006-01-01,1631
2006-04-01,-2205
2006-07-01,4638
2006-10-01,616
2007-01-01,5001
2007-04-01,-3765
2007-07-01,2268
2007-10-01,-5483
2008-01-01,-2025
2008-04-01,-10349
2008-07-01,2736
2008-10-01,-4236
2009-01-01,-2668
2009-04-01,-10043
2009-07-01,7089
2009-10-01,-5030
2010-01-01,-4495
2010-04-01,-8751
2010-07-01,4057
2010-10-01,-3358
2011-01-01,-13947
2011-04-01,-4627
2011-07-01,1937
2011-10-01,-1053
2012-01-01,-9691
2012-04-01,-6381
2012-07-01,-1145
2012-10-01,-2934
2013-01-01,-8262
2013-04-01,-2100
2013-07-01,-1465
2013-10-01,1030
2014-01-01,-11969
2014-04-01,-12798
2014-07-01,1179
2014-10-01,3035
2015-01-01,-9107
2015-04-01,1121
2015-07-01,15
2015-10-01,-119
2016-01-01,-16197
2016-04-01,-473
2016-07-01,-2171
2016-10-01,7973
2017-01-01,-22167
2017-04-01,-3650
2017-07-01,4081
2017-10-01,4123
2018-01-01,-18230
2018-04-01,-7512
2018-07-01,708
2018-10-01,5389
2019-01-01,-6350
2019-04-01,2234
2019-07-01,2508
2019-10-01,14102
2020-01-01,-15574
2020-04-01,-16240
2020-07-01,-11268
2020-10-01,1584
2021-01-01,-7378
2021-04-01,1422
2021-07-01,1792
2021-10-01,13125
2022-01-01,-12636
2022-04-01,-13668
2022-07-01,-20368
