date,value
1999-01-01,5338
1999-04-01,5402
1999-07-01,5635
1999-10-01,5008
2000-01-01,683
2000-04-01,1772
2000-07-01,-1078
2000-10-01,-715
2001-01-01,-379
2001-04-01,757
2001-07-01,1232
2001-10-01,3502
2002-01-01,593
2002-04-01,4081
2002-07-01,1802
2002-10-01,3275
2003-01-01,-78
2003-04-01,1030
2003-07-01,1589
2003-10-01,3862
2004-01-01,2149
2004-04-01,502
2004-07-01,-1320
2004-10-01,-1359
2005-01-01,-3640
2005-04-01,-2849
2005-07-01,-3767
2005-10-01,-5458
2006-01-01,-5736
2006-04-01,-4748
2006-07-01,-5976
2006-10-01,-5507
2007-01-01,-5447
2007-04-01,-7430
2007-07-01,-9429
2007-10-01,-11128
2008-01-01,-10158
2008-04-01,-12232
2008-07-01,-13840
2008-10-01,-12594
2009-01-01,-11020
2009-04-01,-7498
2009-07-01,-6471
2009-10-01,-11680
2010-01-01,-10835
2010-04-01,-11064
2010-07-01,-12248
2010-10-01,-14041
2011-01-01,-17880
2011-04-01,-17578
2011-07-01,-15886
2011-10-01,-13562
2012-01-01,-15990
2012-04-01,-14886
2012-07-01,-12125
2012-10-01,-11474
2013-01-01,-10587
2013-04-01,-9644
2013-07-01,-12777
2013-10-01,-10024
2014-01-01,-12549
2014-04-01,-10892
2014-07-01,-11792
2014-10-01,-7434
2015-01-01,-8974
2015-04-01,-5392
2015-07-01,-7200
2015-10-01,-7297
2016-01-01,-12900
2016-04-01,-4933
2016-07-01,-10111
2016-10-01,-4330
2017-01-01,-18380
2017-04-01,-8904
2017-07-01,-12921
2017-10-01,-5928
2018-01-01,-18182
2018-04-01,-13975
2018-07-01,-12269
2018-10-01,-6540
2019-01-01,-16789
2019-04-01,-10651
2019-07-01,-14042
2019-10-01,-5554
2020-01-01,-16402
2020-04-01,-20840
2020-07-01,-17055
2020-10-01,-4831
2021-01-01,-15890
2021-04-01,-13484
2021-07-01,-17933
2021-10-01,-20111
2022-01-01,-29666
2022-04-01,-36704
2022-07-01,-37616
