date,value
1999-01-01,924
1999-04-01,2610
1999-07-01,7909
1999-10-01,2919
2000-01-01,2366
2000-04-01,3302
2000-07-01,5147
2000-10-01,2273
2001-01-01,2961
2001-04-01,4318
2001-07-01,6221
2001-10-01,1861
2002-01-01,4016
2002-04-01,4972
2002-07-01,7947
2002-10-01,2739
2003-01-01,2619
2003-04-01,3755
2003-07-01,6535
2003-10-01,2134
2004-01-01,2029
2004-04-01,4648
2004-07-01,7427
2004-10-01,1386
2005-01-01,3365
2005-04-01,4906
2005-07-01,7604
2005-10-01,2337
2006-01-01,4397
2006-04-01,5891
2006-07-01,7924
2006-10-01,1800
2007-01-01,4820
2007-04-01,8028
2007-07-01,8647
2007-10-01,3226
2008-01-01,4698
2008-04-01,6820
2008-07-01,9588
2008-10-01,3548
2009-01-01,2131
2009-04-01,5837
2009-07-01,8431
2009-10-01,2234
2010-01-01,2848
2010-04-01,7025
2010-07-01,9459
2010-10-01,1403
2011-01-01,1787
2011-04-01,8457
2011-07-01,11589
2011-10-01,5942
2012-01-01,5861
2012-04-01,8801
2012-07-01,10550
2012-10-01,6110
2013-01-01,3836
2013-04-01,8761
2013-07-01,10641
2013-10-01,6878
2014-01-01,1500
2014-04-01,8101
2014-07-01,10780
2014-10-01,5078
2015-01-01,227
2015-04-01,8472
2015-07-01,7690
2015-10-01,3708
2016-01-01,1815
2016-04-01,7407
2016-07-01,7260
2016-10-01,3743
2017-01-01,1291
2017-04-01,7591
2017-07-01,9121
2017-10-01,6444
2018-01-01,3857
2018-04-01,4340
2018-07-01,8916
2018-10-01,7229
2019-01-01,3814
2019-04-01,5670
2019-07-01,8688
2019-10-01,7441
2020-01-01,1331
2020-04-01,2388
2020-07-01,7533
2020-10-01,7433
2021-01-01,2368
2021-04-01,7535
2021-07-01,12243
2021-10-01,14269
2022-01-01,10557
2022-04-01,17400
2022-07-01,12085
