date,value
1999-01-01,342826.4
1999-04-01,345436.3
1999-07-01,350361.2
1999-10-01,355431.0
2000-01-01,361647.7
2000-04-01,366591.1
2000-07-01,371616.4
2000-10-01,375632.5
2001-01-01,379032.5
2001-04-01,381411.1
2001-07-01,385022.2
2001-10-01,385784.9
2002-01-01,390222.8
2002-04-01,393493.8
2002-07-01,397291.5
2002-10-01,399427.5
2003-01-01,401683.0
2003-04-01,402169.6
2003-07-01,409017.5
2003-10-01,411937.4
2004-01-01,418193.5
2004-04-01,420764.3
2004-07-01,424008.9
2004-10-01,429985.6
2005-01-01,433628.3
2005-04-01,437243.4
2005-07-01,442576.7
2005-10-01,447085.6
2006-01-01,452833.2
2006-04-01,460519.9
2006-07-01,464697.4
2006-10-01,470129.3
2007-01-01,477251.5
2007-04-01,482864.5
2007-07-01,487321.8
2007-10-01,491856.4
2008-01-01,499412.8
2008-04-01,499137.3
2008-07-01,498007.1
2008-10-01,492561.7
2009-01-01,482130.6
2009-04-01,482722.1
2009-07-01,483338.5
2009-10-01,488749.6
2010-01-01,492308.8
2010-04-01,496996.0
2010-07-01,501514.9
2010-10-01,503072.6
2011-01-01,512794.0
2011-04-01,513560.1
2011-07-01,515273.4
2011-10-01,519356.2
2012-01-01,520507.4
2012-04-01,520535.8
2012-07-01,523608.6
2012-10-01,523429.8
2013-01-01,526827.1
2013-04-01,532573.1
2013-07-01,530650.8
2013-10-01,533075.8
2014-01-01,535038.4
2014-04-01,537429.4
2014-07-01,541827.3
2014-10-01,542192.6
2015-01-01,546863.3
2015-04-01,548795.0
2015-07-01,552443.5
2015-10-01,554658.8
2016-01-01,557430.9
2016-04-01,555460.9
2016-07-01,557031.2
2016-10-01,560679.3
2017-01-01,565948.6
2017-04-01,571706.9
2017-07-01,575956.9
2017-10-01,580781.0
2018-01-01,582860.9
2018-04-01,585314.7
2018-07-01,591359.7
2018-10-01,597367.6
2019-01-01,604146.6
2019-04-01,609218.6
2019-07-01,611449.9
2019-10-01,610531.3
2020-01-01,587118.6
2020-04-01,533112.0
2020-07-01,596017.8
2020-10-01,601060.0
2021-01-01,607053.2
2021-04-01,617216.2
2021-07-01,637194.8
2021-10-01,643446.9
2022-01-01,648835.1
2022-04-01,655228.8
2022-07-01,668024.5
2022-10-01,680662.6
2023-01-01,691164.8
2023-04-01,706671.9
2023-07-01,711474.1
2023-10-01,720893.8
2024-01-01,724679.9
2024-04-01,725284.3
2024-07-01,735752.2
2024-10-01,735616.4
2025-01-01,739174.9
2025-04-01,741992.7
2025-07-01,748460.5
2025-10-01,753456.9
