date,bop_ca,bop_goods,bop_services,eurusd,gdp,hicp,interest_rate,bop_ca_yoy,bop_ca_qoq,bop_goods_yoy,bop_goods_qoq,bop_services_yoy,bop_services_qoq,gdp_yoy,gdp_qoq,gdp_growth,bop_ca_lag1,bop_ca_lag2,bop_ca_lag4
2000-01-01,1634.0,683.0,2366.0,0.9871541752933001,361647.7,1.5666666666666667,3.5423161000000003,-7970.0,-8655.0,-4655.0,-4325.0,1442.0,-553.0,18821.29999999999,6216.700000000012,5.490038106750239,10289.0,14424.0,9604.0
2000-04-01,6102.0,1772.0,3302.0,0.9340318181818333,366591.1,1.5333333333333332,4.263016866666667,-7254.0,4468.0,-3630.0,1089.0,692.0,936.0,21154.79999999999,4943.399999999965,6.124081342927767,1634.0,10289.0,13356.0
2000-07-01,5386.0,-1078.0,5147.0,0.9052759834368334,371616.4,2.0666666666666664,4.737600433333333,-9038.0,-716.0,-6713.0,-2850.0,-2762.0,1845.0,21255.20000000001,5025.300000000047,6.066653499302999,6102.0,1634.0,14424.0
2000-10-01,3133.0,-715.0,2273.0,0.8696204146730667,375632.5,2.066666666666667,5.024128366666667,-7156.0,-2253.0,-5723.0,363.0,-646.0,-2874.0,20201.5,4016.0999999999767,5.683662933171285,5386.0,6102.0,10289.0
2001-01-01,7289.0,-379.0,2961.0,0.9231698484848333,379032.5,1.4333333333333333,4.745054566666666,5655.0,4156.0,-1062.0,336.0,595.0,688.0,17384.79999999999,3400.0,4.807109239184992,3133.0,5386.0,1634.0
2001-04-01,1052.0,757.0,4318.0,0.8731101010101,381411.1,2.1999999999999997,4.590751066666667,-5050.0,-6237.0,-1015.0,1136.0,1016.0,1357.0,14820.0,2378.5999999999767,4.042651335507053,7289.0,3133.0,6102.0
2001-07-01,8686.0,1232.0,6221.0,0.8907470816864334,385022.2,1.9333333333333336,4.267836033333333,3300.0,7634.0,2310.0,475.0,1074.0,1903.0,13405.799999999988,3611.100000000035,3.6074295967562175,1052.0,7289.0,5386.0
2001-10-01,7196.0,3502.0,1861.0,0.8955155101742,385784.9,1.5333333333333332,3.4434801,4063.0,-1490.0,4217.0,2270.0,-412.0,-4360.0,10152.400000000023,762.7000000000116,2.7027480316532904,8686.0,1052.0,3133.0
2002-01-01,6748.0,593.0,4016.0,0.8763737878788,390222.8,2.266666666666667,3.362224233333333,-541.0,-448.0,972.0,-2909.0,1055.0,2155.0,11190.299999999988,4437.899999999965,2.9523325836174896,7196.0,8686.0,7289.0
2002-04-01,927.0,4081.0,4972.0,0.9194276190476334,393493.8,1.7,3.446013733333333,-125.0,-5821.0,3324.0,3488.0,654.0,956.0,12082.700000000012,3271.0,3.1678941698340735,6748.0,7196.0,1052.0
2002-07-01,6844.0,1802.0,7947.0,0.9835789792333333,397291.5,1.7333333333333334,3.3573506666666666,-1842.0,5917.0,570.0,-2279.0,1726.0,2975.0,12269.299999999988,3797.7000000000116,3.186647419291666,927.0,6748.0,8686.0
2002-10-01,3712.0,3275.0,2739.0,1.0002418668047,399427.5,2.066666666666667,3.108817933333333,-3484.0,-3132.0,-227.0,1473.0,878.0,-5208.0,13642.599999999977,2136.0,3.536322961318583,6844.0,927.0,7196.0
2003-01-01,5257.0,-78.0,2619.0,1.0733779148629334,401683.0,2.3333333333333335,2.6830735333333333,-1491.0,1545.0,-671.0,-3353.0,-1397.0,-120.0,11460.200000000012,2255.5,2.9368350593558468,3712.0,6844.0,6748.0
2003-04-01,-1572.0,1030.0,3755.0,1.1364073015873333,402169.6,1.9333333333333333,2.3619103,-2499.0,-6829.0,-3051.0,1108.0,-1217.0,1136.0,8675.799999999988,486.5999999999767,2.2048123756968963,5257.0,3712.0,927.0
2003-07-01,5111.0,1589.0,6535.0,1.1244073342117,409017.5,2.066666666666667,2.1392634333333334,-1733.0,6683.0,-213.0,559.0,-1412.0,2780.0,11726.0,6847.900000000023,2.9514852444615602,-1572.0,5257.0,6844.0
2003-10-01,4832.0,3862.0,2134.0,1.1893160697032334,411937.4,2.4,2.1496495,1120.0,-279.0,587.0,2273.0,-605.0,-4401.0,12509.900000000023,2919.9000000000233,3.1319576143355343,5111.0,-1572.0,3712.0
2004-01-01,5361.0,2149.0,2029.0,1.2507097550034334,418193.5,2.0,2.0629507666666664,104.0,529.0,2227.0,-1713.0,-590.0,-105.0,16510.5,6256.099999999977,4.110330783229554,4832.0,5111.0,5257.0
2004-04-01,977.0,502.0,4648.0,1.2043652092352,420764.3,2.6333333333333333,2.082429633333333,2549.0,-4384.0,-528.0,-1647.0,893.0,2619.0,18594.70000000001,2570.7999999999884,4.623596611976644,5361.0,4832.0,-1572.0
2004-07-01,4187.0,-1320.0,7427.0,1.2219878787879,424008.9,2.466666666666667,2.1163030333333332,-924.0,3210.0,-2909.0,-1822.0,892.0,2779.0,14991.400000000023,3244.600000000035,3.6652221481966007,977.0,5361.0,5111.0
2004-10-01,-1446.0,-1359.0,1386.0,1.2962879666227667,429985.6,2.2333333333333334,2.1636084666666666,-6278.0,-5633.0,-5221.0,-39.0,-748.0,-6041.0,18048.199999999953,5976.699999999953,4.381296769848997,4187.0,977.0,4832.0
2005-01-01,2207.0,-3640.0,3365.0,1.3111400793651,433628.3,1.8666666666666665,2.1403230333333334,-3154.0,3653.0,-5789.0,-2281.0,1336.0,1979.0,15434.799999999988,3642.7000000000116,3.690827332323421,-1446.0,4187.0,5361.0
2005-04-01,-742.0,-2849.0,4906.0,1.2598922799423,437243.4,1.8333333333333333,2.12464,-1719.0,-2949.0,-3351.0,791.0,258.0,1541.0,16479.100000000035,3615.100000000035,3.9164681984664718,2207.0,-1446.0,977.0
2005-07-01,3687.0,-3767.0,7604.0,1.2195344783236,442576.7,2.033333333333333,2.1303477666666666,-500.0,4429.0,-2447.0,-918.0,177.0,2698.0,18567.79999999999,5333.299999999988,4.379106193289806,-742.0,2207.0,4187.0
