date,value
2008-01-01,-4864
2008-02-01,-2242
2008-03-01,-3051
2008-04-01,-2846
2008-05-01,-4651
2008-06-01,-4734
2008-07-01,-4007
2008-08-01,-5302
2008-09-01,-4531
2008-10-01,-4878
2008-11-01,-5522
2008-12-01,-2194
2009-01-01,-3993
2009-02-01,-3402
2009-03-01,-3625
2009-04-01,-3216
2009-05-01,-1745
2009-06-01,-2537
2009-07-01,-319
2009-08-01,-3460
2009-09-01,-2691
2009-10-01,-2868
2009-11-01,-5123
2009-12-01,-3689
2010-01-01,-4095
2010-02-01,-2769
2010-03-01,-3971
2010-04-01,-3236
2010-05-01,-5291
2010-06-01,-2537
2010-07-01,-1903
2010-08-01,-5459
2010-09-01,-4886
2010-10-01,-3232
2010-11-01,-6001
2010-12-01,-4808
2011-01-01,-6812
2011-02-01,-5522
2011-03-01,-5546
2011-04-01,-5887
2011-05-01,-6714
2011-06-01,-4977
2011-07-01,-4760
2011-08-01,-5432
2011-09-01,-5694
2011-10-01,-5669
2011-11-01,-3857
2011-12-01,-4036
2012-01-01,-6440
2012-02-01,-5596
2012-03-01,-3954
2012-04-01,-5659
2012-05-01,-4736
2012-06-01,-4492
2012-07-01,-3652
2012-08-01,-5018
2012-09-01,-3455
2012-10-01,-4591
2012-11-01,-3574
2012-12-01,-3308
2013-01-01,-6131
2013-02-01,-3121
2013-03-01,-1335
2013-04-01,-2634
2013-05-01,-4432
2013-06-01,-2578
2013-07-01,-4291
2013-08-01,-3396
2013-09-01,-5090
2013-10-01,-3475
2013-11-01,-3206
2013-12-01,-3343
2014-01-01,-7028
2014-02-01,-2506
2014-03-01,-3014
2014-04-01,-3587
2014-05-01,-3616
2014-06-01,-3689
2014-07-01,-3798
2014-08-01,-4441
2014-09-01,-3553
2014-10-01,-2749
2014-11-01,-1557
2014-12-01,-3128
2015-01-01,-3569
2015-02-01,-2099
2015-03-01,-3306
2015-04-01,-2011
2015-05-01,-3042
2015-06-01,-339
2015-07-01,-1739
2015-08-01,-2713
2015-09-01,-2748
2015-10-01,-2966
2015-11-01,-2944
2015-12-01,-1387
2016-01-01,-4370
2016-02-01,-4576
2016-03-01,-3954
2016-04-01,-2126
2016-05-01,-1138
2016-06-01,-1670
2016-07-01,-2639
2016-08-01,-4370
2016-09-01,-3102
2016-10-01,-3649
2016-11-01,-3387
2016-12-01,2706
2017-01-01,-9523
2017-02-01,-5772
2017-03-01,-3084
2017-04-01,-3567
2017-05-01,-3104
2017-06-01,-2233
2017-07-01,-4892
2017-08-01,-4666
2017-09-01,-3363
2017-10-01,-3914
2017-11-01,-3381
2017-12-01,1366
2018-01-01,-6606
2018-02-01,-7409
2018-03-01,-4166
2018-04-01,-4358
2018-05-01,-6508
2018-06-01,-3110
2018-07-01,-1288
2018-08-01,-6512
2018-09-01,-4469
2018-10-01,-3852
2018-11-01,-2966
2018-12-01,277
2019-01-01,-5830
2019-02-01,-5727
2019-03-01,-5232
2019-04-01,-4477
2019-05-01,-2686
2019-06-01,-3487
2019-07-01,-2933
2019-08-01,-5908
2019-09-01,-5201
2019-10-01,-2958
2019-11-01,-3441
2019-12-01,844
2020-01-01,-7405
2020-02-01,-6367
2020-03-01,-2630
2020-04-01,-3575
2020-05-01,-9085
2020-06-01,-8180
2020-07-01,-4498
2020-08-01,-5971
2020-09-01,-6586
2020-10-01,-3279
2020-11-01,-1837
2020-12-01,284
2021-01-01,-5385
2021-02-01,-4530
2021-03-01,-5975
2021-04-01,-4588
2021-05-01,-5476
2021-06-01,-3420
2021-07-01,-4715
2021-08-01,-6944
2021-09-01,-6273
2021-10-01,-5273
2021-11-01,-7861
2021-12-01,-6978
2022-01-01,-8065
2022-02-01,-8386
2022-03-01,-13215
2022-04-01,-11968
2022-05-01,-13955
2022-06-01,-10781
2022-07-01,-10791
2022-08-01,-13594
2022-09-01,-13231
2022-10-01,-9580
2022-11-01,-11053
2022-12-01,-10029
