mc_iter,spec,model,rmse
0,M0,Ridge,2003.3146358440524
0,M5,Ridge,1918.239108691998
1,M0,Ridge,2000.4643186348676
1,M5,Ridge,1891.4436711947194
2,M0,Ridge,1995.661010779578
2,M5,Ridge,1869.5349892960023
3,M0,Ridge,2005.6375436321152
3,M5,Ridge,1875.9605672393743
4,M0,Ridge,2007.8515491667456
4,M5,Ridge,1881.6945406873833
5,M0,Ridge,2023.6175832630988
5,M5,Ridge,1894.2555221422795
6,M0,Ridge,2007.8328557872983
6,M5,Ridge,1897.514236684755
7,M0,Ridge,2026.2761955451983
7,M5,Ridge,1885.7995470334258
8,M0,Ridge,2005.1959577319872
8,M5,Ridge,1898.8694755914967
9,M0,Ridge,1983.8132732004246
9,M5,Ridge,1876.6687579285035
10,M0,Ridge,2006.6824142819594
10,M5,Ridge,1906.9546979101433
11,M0,Ridge,2006.6997257293935
11,M5,Ridge,1869.0543756444226
12,M0,Ridge,2018.5047756811648
12,M5,Ridge,1904.5028238781838
13,M0,Ridge,1977.5891233246832
13,M5,Ridge,1883.1985162169187
14,M0,Ridge,2024.5500872131029
14,M5,Ridge,1911.8165618817404
15,M0,Ridge,2000.4157770737693
15,M5,Ridge,1892.3850408617093
16,M0,Ridge,1992.6424728032543
16,M5,Ridge,1853.8207231807837
17,M0,Ridge,1996.5688120809316
17,M5,Ridge,1881.5640315149903
18,M0,Ridge,1974.4851403069622
18,M5,Ridge,1857.2815628703156
19,M0,Ridge,1995.8190108165943
19,M5,Ridge,1878.4981916964477
20,M0,Ridge,2012.450235800842
20,M5,Ridge,1918.9955531642927
21,M0,Ridge,1971.8626052045552
21,M5,Ridge,1880.047925636043
22,M0,Ridge,1974.442689957319
22,M5,Ridge,1865.3826306299147
23,M0,Ridge,2002.5151838808692
23,M5,Ridge,1888.99075251081
24,M0,Ridge,1999.5733232692148
24,M5,Ridge,1879.6467896272707
25,M0,Ridge,2002.5702223307487
25,M5,Ridge,1872.027732035671
26,M0,Ridge,2008.1885586153867
26,M5,Ridge,1886.1609593711435
27,M0,Ridge,1988.219743581995
27,M5,Ridge,1867.949913308808
28,M0,Ridge,2016.355691877869
28,M5,Ridge,1893.463062525329
29,M0,Ridge,1999.9461566484304
29,M5,Ridge,1895.0769774437847
30,M0,Ridge,1993.0647419326147
30,M5,Ridge,1872.638013284161
31,M0,Ridge,2019.14381598864
31,M5,Ridge,1904.8100021832645
32,M0,Ridge,2015.4019892046574
32,M5,Ridge,1895.9114393242469
33,M0,Ridge,2012.8947259143847
33,M5,Ridge,1900.9785242883831
34,M0,Ridge,1970.926609296279
34,M5,Ridge,1860.7330103828294
35,M0,Ridge,2009.4664655817244
35,M5,Ridge,1871.7651146364942
36,M0,Ridge,2005.8757946684887
36,M5,Ridge,1887.161773541385
37,M0,Ridge,1996.8679314828642
37,M5,Ridge,1897.6332581900344
38,M0,Ridge,1999.464905646005
38,M5,Ridge,1876.396268134308
39,M0,Ridge,2008.993352182967
39,M5,Ridge,1909.8644604634633
40,M0,Ridge,1987.2259641208827
40,M5,Ridge,1868.908789089162
41,M0,Ridge,1998.9463004417944
41,M5,Ridge,1882.4748460417975
42,M0,Ridge,2030.9171331618413
42,M5,Ridge,1921.6947201663902
43,M0,Ridge,1985.0025430578974
43,M5,Ridge,1864.73896070836
44,M0,Ridge,1993.4151098132065
44,M5,Ridge,1879.835581876185
45,M0,Ridge,1991.538519430281
45,M5,Ridge,1850.3667963639616
46,M0,Ridge,1996.4629905711047
46,M5,Ridge,1869.8360937657287
47,M0,Ridge,2006.0198903590504
47,M5,Ridge,1901.413439893663
48,M0,Ridge,2012.3605002247677
48,M5,Ridge,1939.909180234359
49,M0,Ridge,2015.176491791738
49,M5,Ridge,1894.0151874182727
