country,strategy,model,rmse,mae,vs_ar1_pct
FR,country-specific,AR(1),2005.7287672310908,1386.351097331249,0.0
FR,country-specific,Ridge,1604.3244760748207,1161.968363660065,-20.012889963701767
FR,country-specific,XGBoost,1673.1220424031922,1177.0184066475763,-16.582836635835978
DE,country-specific,AR(1),3768.4611572648937,3024.1028882064834,0.0
DE,country-specific,Ridge,3165.9671038746606,2452.512631472367,-15.987800543697695
DE,country-specific,XGBoost,3268.2182534866874,2498.4891662597656,-13.27446092455619
IT,country-specific,AR(1),2639.007647920976,2209.162087492898,0.0
IT,country-specific,Ridge,2112.4995911475894,1546.414499303827,-19.950986394002022
IT,country-specific,XGBoost,1991.0279601804991,1369.2025780244307,-24.553914735751476
ES,country-specific,AR(1),1043.6859443157994,813.0479661980396,0.0
ES,country-specific,Ridge,1017.7436094004561,776.6056970167695,-2.485645711397415
ES,country-specific,XGBoost,1045.9571718569396,792.7002990270544,0.2176159939213454
DE,direct-transfer,Ridge,3850.0201416988502,,2.16425169400316
DE,fine-tuned,Ridge,3305.2096660098036,,-12.292855675639037
IT,direct-transfer,Ridge,2332.6571178438353,,-11.608550294217045
IT,fine-tuned,Ridge,1990.6797106681254,,-24.567110965502764
ES,direct-transfer,Ridge,1268.9303623954647,,21.581628008541117
ES,fine-tuned,Ridge,1345.7227947418157,,28.93943835029993
IT,pooled-FE,Ridge,2741.0634920831358,,3.867205320248307
ES,pooled-FE,Ridge,1453.3363083282031,,39.25034788898636
