period,model,rmse,n_obs,pct_vs_ar1
2010-2014,AR(1),6587,20,0.0
2010-2014,AR(4),4563,20,-30.7
2010-2014,Ridge,4496,20,-31.7
2010-2014,DFM,5552,20,-15.7
2010-2014,Bridge,4299,20,-34.7
2010-2014,GradientBoosting,4212,20,-36.1
2010-2014,XGBoost,4489,20,-31.8
2010-2014,LSTM,6637,20,0.8
2010-2014,GRU,6634,20,0.7
2015-2019,AR(1),9305,20,0.0
2015-2019,AR(4),6383,20,-31.4
2015-2019,Ridge,6514,20,-30.0
2015-2019,DFM,8885,20,-4.5
2015-2019,Bridge,6309,20,-32.2
2015-2019,GradientBoosting,7477,20,-19.6
2015-2019,XGBoost,7693,20,-17.3
2015-2019,LSTM,9001,20,-3.3
2015-2019,GRU,9001,20,-3.3
2020-2022,AR(1),11489,11,-0.0
2020-2022,AR(4),12234,11,6.5
2020-2022,Ridge,9275,11,-19.3
2020-2022,DFM,11046,11,-3.9
2020-2022,Bridge,12957,11,12.8
2020-2022,GradientBoosting,11134,11,-3.1
2020-2022,XGBoost,11050,11,-3.8
2020-2022,LSTM,12168,11,5.9
2020-2022,GRU,12157,11,5.8
